network,address,municipality,lat,lon,petrol95_eur,diesel_eur,lpg_eur,price_updated,price_date
UAB Gelvybė,"Kiduliai, Sūduvos g. 3, 71400",Šakių r. sav.,55.063839,22.780717,1.799,1.999,0.72,2026-08-05T10:22:46+03:00,2026-08-05
UAB Gelvybė,"Mozūriškiai, Mozūriškių 10, 71382",Šakių r. sav.,55.021603,22.969559,1.79,1.99,,2026-08-05T10:22:46+03:00,2026-08-05
UAB Gelvybė,"Šakiai, V. Kudirkos g. 11D, 71124",Šakių r. sav.,54.954139,23.024637,1.799,1.999,0.73,2026-08-05T10:22:46+03:00,2026-08-05
UAB Saurida,"Lėkėčių k., Šakių g. 3, 71229",Šakių r. sav.,54.977307,23.483572,1.78,2.01,0.72,2026-08-05T08:58:55+03:00,2026-08-05
UAB Alauša,"Skraičionys, Skraičionių g. 1, 17140",Šalčininkų r. sav.,54.204121,25.621054,1.799,1.999,0.799,2026-08-05T09:28:26+03:00,2026-08-05
UAB Baltic Petroleum,"Šalčininkai, Vilniaus g. 5A, 17102",Šalčininkų r. sav.,54.317842,25.381712,1.719,1.959,0.759,2026-08-05T09:15:02+03:00,2026-08-05
UAB Tomega,"Dumblės k., 17178",Šalčininkų r. sav.,54.160154,25.009899,1.729,1.969,,2026-08-05T11:42:46+03:00,2026-08-05
UAB Tomega,"Tartoko k., 17127",Šalčininkų r. sav.,54.456879,25.279466,1.719,1.959,,2026-08-05T11:39:23+03:00,2026-08-05
UAB Viada LT,"Jašiūnai, Lydos g. 13, 17247",Šalčininkų r. sav.,54.439646,25.327296,1.859,2.159,0.859,2026-08-05T09:18:13+03:00,2026-08-05
AB Orlen Baltics Retail,"Šiauliai, Serbentų g. 82, 77126",Šiaulių m. sav.,55.913609,23.336876,1.669,1.899,0.729,2026-08-05T13:51:37+03:00,2026-08-05
UAB Apsaga,"Šiauliai, Nuklono g. 4, 78349",Šiaulių m. sav.,55.91673,23.246901,1.859,2.099,0.76,2026-08-05T09:23:57+03:00,2026-08-05
UAB Apsaga,"Šiauliai, Pramonės g. 28, 77116",Šiaulių m. sav.,55.904952,23.328068,1.859,2.099,,2026-08-05T09:23:57+03:00,2026-08-05
UAB Apsaga,"Šiauliai, Pramonės g. 3A, 78140",Šiaulių m. sav.,55.917865,23.297526,1.859,2.099,0.779,2026-08-05T09:23:57+03:00,2026-08-05
UAB Apsaga,"Šiauliai, Tilžės g. 223, 76200",Šiaulių m. sav.,55.941271,23.326273,1.859,2.099,0.76,2026-08-05T09:23:57+03:00,2026-08-05
UAB Apsaga,"Šiauliai, V. Bielskio g. 47A, 76159",Šiaulių m. sav.,55.956347,23.30845,1.84,2.09,0.76,2026-08-05T09:23:57+03:00,2026-08-05
UAB Apsaga,"Šiauliai, Vilniaus g. 16, 76265",Šiaulių m. sav.,55.923548,23.350099,1.839,2.079,0.769,2026-08-05T09:23:57+03:00,2026-08-05
UAB Baltic Petroleum,"Šiauliai, Kupiškio g. 4, 76146",Šiaulių m. sav.,55.957544,23.316059,1.699,1.929,0.699,2026-08-05T09:15:04+03:00,2026-08-05
UAB Circle K Lietuva,"Šiauliai, Dubijos g. 20A, 77207",Šiaulių m. sav.,55.9289,23.297667,1.799,2.079,0.779,2026-08-05T09:51:14+03:00,2026-08-05
UAB Circle K Lietuva,"Šiauliai, Pramonės g. 17, 78136",Šiaulių m. sav.,55.909327,23.319346,1.849,2.139,0.789,2026-08-05T09:51:15+03:00,2026-08-05
UAB Circle K Lietuva,"Šiauliai, Tilžės g. 25, 78229",Šiaulių m. sav.,55.91276,23.273898,1.839,2.129,0.759,2026-08-05T09:51:18+03:00,2026-08-05
UAB Circle K Lietuva,"Šiauliai, Vilniaus g. 62, 76251",Šiaulių m. sav.,55.924786,23.334113,1.769,2.049,,2026-08-05T09:51:18+03:00,2026-08-05
UAB Emsi,"Šiauliai, Sembos g. 5, 78347",Šiaulių m. sav.,55.895367,23.276915,1.699,1.929,0.69,2026-08-05T09:00:03+03:00,2026-08-05
UAB Jozita,"Šiauliai, Architektų g. 80, 78171",Šiaulių m. sav.,55.924529,23.279541,1.77,1.97,0.71,2026-08-05T10:06:29+03:00,2026-08-05
UAB Jozita,"Šiauliai, Girulių g. 1, 78132",Šiaulių m. sav.,55.922129,23.297137,1.77,1.97,0.71,2026-08-05T10:06:29+03:00,2026-08-05
"UAB Junasa, Degalinė","Šiauliai, Bačiūnų g. 12a, 77109",Šiaulių m. sav.,55.89793,23.35172,1.749,1.999,0.69,2026-08-05T10:30:03+03:00,2026-08-05
"UAB Junasa, Degalinė","Šiauliai, Žemaitės g. 131c, 76175",Šiaulių m. sav.,55.948105,23.320427,1.749,1.999,0.69,2026-08-05T10:30:03+03:00,2026-08-05
UAB Neste Lietuva,"Šiauliai, Dubijos g. 18A, 77172",Šiaulių m. sav.,55.92926,23.29436,1.759,2.029,,2026-08-05T09:55:57+03:00,2026-08-05
UAB Neste Lietuva,"Šiauliai, Gegužių g. 28, 78348",Šiaulių m. sav.,55.90607,23.25953,1.779,1.979,,2026-08-05T09:55:57+03:00,2026-08-05
UAB Neste Lietuva,"Šiauliai, Tilžės g. 72, 78140",Šiaulių m. sav.,55.92028,23.29298,1.774,2.014,,2026-08-05T09:55:57+03:00,2026-08-05
UAB Plovimo sistemos,"Šiauliai, Gegužių g. 28, 78322",Šiaulių m. sav.,55.905911,23.25872,,,0.729,2026-08-05T10:30:03+03:00,2026-08-05
UAB Saurida,"Šiauliai, Pramonės g. 7C, 78140",Šiaulių m. sav.,55.916466,23.301941,1.8,2.0,0.71,2026-08-05T08:58:54+03:00,2026-08-05
UAB Saurida,"Šiauliai, Vilniaus g. 373A, 76326",Šiaulių m. sav.,55.942819,23.281619,1.81,2.02,0.71,2026-08-05T08:58:54+03:00,2026-08-05
UAB Viada LT,"Šiauliai, Dubijos g. 1C,",Šiaulių m. sav.,55.926413,23.307517,1.839,2.119,0.779,2026-08-05T09:18:13+03:00,2026-08-05
UAB Viada LT,"Šiauliai, Gegužių g. 26, 78348",Šiaulių m. sav.,55.905387,23.260267,1.849,2.119,0.779,2026-08-05T09:18:13+03:00,2026-08-05
UAB Viada LT,"Šiauliai, J. Basanavičiaus g. 122A, 76161",Šiaulių m. sav.,55.95475,23.315799,1.849,2.119,0.779,2026-08-05T09:18:13+03:00,2026-08-05
UAB Viada LT,"Šiauliai, Tilžės g. 274, 76201",Šiaulių m. sav.,55.944117,23.33112,1.849,2.119,0.779,2026-08-05T09:18:13+03:00,2026-08-05
UAB Viada LT,"Šiauliai, Užmiesčio g. 2, 76273",Šiaulių m. sav.,55.922716,23.357888,1.859,2.129,0.779,2026-08-05T09:18:13+03:00,2026-08-05
UAB Alauša,"Kairiai, Plento g. 2B, 80114",Šiaulių r. sav.,55.920168,23.425998,1.759,1.999,0.719,2026-08-05T09:28:25+03:00,2026-08-05
UAB Atsiauta,"Kuršėnai, Vytauto g. 80, 81146",Šiaulių r. sav.,56.014796,22.95141,1.75,2.05,0.79,2026-08-05T08:47:52+03:00,2026-08-05
UAB Boost Petrol,"Ginkūnų k., Aušros g. 26, 81492",Šiaulių r. sav.,55.935761,23.077789,1.889,2.189,0.779,2026-08-05T10:05:00+03:00,2026-08-05
UAB Circle K Lietuva,"Kuršėnai, Plento g. 1, 81115",Šiaulių r. sav.,55.999324,22.989745,1.859,2.159,0.899,2026-08-05T09:51:15+03:00,2026-08-05
UAB Jozita,"Toliočiai, Plento g. 2B, 76322",Šiaulių r. sav.,55.954334,23.255989,1.77,1.97,0.71,2026-08-05T10:06:29+03:00,2026-08-05
"UAB Junasa, Degalinė","Gruzdžiai, M. Katiliškio g. 50, 81428",Šiaulių r. sav.,56.099227,23.265819,1.749,1.999,0.69,2026-08-05T10:30:03+03:00,2026-08-05
UAB Viada LT,"Aukštelkės k., Ilgoji g. 1, 80184",Šiaulių r. sav.,55.881956,23.205613,1.859,2.159,0.859,2026-08-05T09:18:13+03:00,2026-08-05
UAB Viada LT,"Kuršėnai, Vilniaus g. 38A, 81136",Šiaulių r. sav.,56.000001,22.947693,1.859,2.159,0.899,2026-08-05T09:18:13+03:00,2026-08-05
UAB Viada LT,"Kužiai, Draugystės g. 2, 80260",Šiaulių r. sav.,55.979081,23.136134,1.859,2.159,0.899,2026-08-05T09:18:13+03:00,2026-08-05
Agroserviso kooperatyvas Pynauja,"Kvėdarna, Papynaujo k., Dvaro g. 1, 75342",Šilalės r. sav.,55.566385,21.995708,1.79,1.99,0.8,2026-08-05T10:30:02+03:00,2026-08-05
UAB Baltic Petroleum,"Bučių k., 75381",Šilalės r. sav.,55.570183,22.176658,1.759,1.999,0.73,2026-08-05T09:15:05+03:00,2026-08-05
UAB Baltic Petroleum,"Šilalė, Rytinio kelio g. 2, 75122",Šilalės r. sav.,55.490035,22.199784,1.729,1.959,0.719,2026-08-05T09:15:03+03:00,2026-08-05
UAB Circle K Lietuva,"Košių II k., Dvaro g. 3, 75226",Šilalės r. sav.,55.48419,22.587226,1.859,2.159,0.889,2026-08-05T09:51:17+03:00,2026-08-05
UAB Eniris,"Vabalų k., Paršežerio g. 1, 75406",Šilalės r. sav.,55.61976,22.246413,1.84,2.06,0.79,2026-08-05T09:52:11+03:00,2026-08-05
UAB Eniris,"Šilalė, Rytinio Kelio g. 2a, 75122",Šilalės r. sav.,55.485903,22.199627,1.73,1.95,0.71,2026-08-05T09:52:11+03:00,2026-08-05
UAB Jozita,"Šolių k., Pietinio Kelio g. 9, 75126",Šilalės r. sav.,55.485443,22.170707,1.77,1.97,0.71,2026-08-05T10:06:29+03:00,2026-08-05
UAB Madalva,"Gineikių k., 75445",Šilalės r. sav.,55.541885,22.491621,,,0.75,2026-08-05T09:02:12+03:00,2026-08-05
UAB Neste Lietuva,"Katyčių k., 75493",Šilalės r. sav.,55.5212,22.36586,1.759,2.039,,2026-08-05T09:55:58+03:00,2026-08-05
UAB Saurida,"Šilalė, Rytinio kelio g. 19, 75133",Šilalės r. sav.,55.49185,22.199277,1.79,1.98,0.7,2026-08-05T08:58:54+03:00,2026-08-05
UAB Viada LT,"Kuodaičių k., 75101",Šilalės r. sav.,55.5687,22.177633,1.859,2.119,0.799,2026-08-05T09:18:13+03:00,2026-08-05
IĮ V.Marcinkevičiaus,"Pavilnučio k., Bažnyčios g. 7, 99392",Šilutės r. sav.,55.513817,21.609833,1.76,1.99,0.74,2026-08-05T08:56:50+03:00,2026-08-05
UAB Andopas,"Šilutė, Ramučių g. 43, 99150",Šilutės r. sav.,55.358829,21.5034,1.73,1.89,0.72,2026-08-05T09:48:21+03:00,2026-08-05
UAB Baltic Petroleum,"Šilutė, Klaipėdos g. 4A, 99116",Šilutės r. sav.,55.352837,21.462853,1.689,1.919,0.699,2026-08-05T09:15:01+03:00,2026-08-05
UAB Circle K Lietuva,"Šilutė, Cintjoniškių g. 15, 99116",Šilutės r. sav.,55.350235,21.47432,1.779,2.034,0.74,2026-08-05T09:51:16+03:00,2026-08-05
UAB Emsi,"Šilutė, Gluosnių g. 4A, 99116",Šilutės r. sav.,55.349229,21.468518,1.69,1.92,0.69,2026-08-05T09:00:04+03:00,2026-08-05
UAB Eniris,"Žemaičių Naumiestis, Klaipėdos g. 76, 99206",Šilutės r. sav.,55.355282,21.680059,1.82,2.09,0.79,2026-08-05T09:52:11+03:00,2026-08-05
UAB Jozita,"Traksėdžių k., Klaipėdos. 60, 99104",Šilutės r. sav.,55.376855,21.470259,1.77,1.97,0.71,2026-08-05T10:06:30+03:00,2026-08-05
UAB Jozita,"Šilutė, Šiaurės g. 1, 99116",Šilutės r. sav.,55.356609,21.469056,,,0.71,2026-08-05T10:06:30+03:00,2026-08-05
UAB Trevena,"Saugų k., Tilžės g. 21, 99409",Šilutės r. sav.,55.464353,21.470278,1.78,2.02,0.72,2026-08-05T14:08:59+03:00,2026-08-05
UAB Trevena,"Žemaitkiemio k., Liepų g. 4, 99317",Šilutės r. sav.,55.227536,21.701884,1.78,2.02,0.72,2026-08-05T14:08:58+03:00,2026-08-05
UAB Viada LT,"Šilutė, Tilžės g. 59, 99168",Šilutės r. sav.,55.34274,21.496553,1.789,2.059,0.769,2026-08-05T09:18:14+03:00,2026-08-05
UAB Alauša,"Paširvinčio k., Paširvio g. 1, 19128",Širvintų r. sav.,55.024653,24.98547,1.669,1.899,0.669,2026-08-05T09:28:25+03:00,2026-08-05
UAB Baltic Petroleum,"Širvintos, Musninkų g. 21, 19126",Širvintų r. sav.,55.032222,24.967251,1.689,1.929,0.699,2026-08-05T09:15:02+03:00,2026-08-05
UAB Viada LT,"Širvintos, Plento g. 4, 19117",Širvintų r. sav.,55.045727,24.942613,1.819,2.099,0.769,2026-08-05T09:18:14+03:00,2026-08-05
UAB Naftos dujos,"Švenčionys, Mokyklos g. 23, 18111",Švenčionių r. sav.,55.137806,26.155728,,,0.85,2026-08-05T09:48:21+03:00,2026-08-05
UAB Neste Lietuva,"Pabradė, Vilniaus g. 94, 18177",Švenčionių r. sav.,54.97889,25.75661,1.799,2.039,,2026-08-05T09:55:58+03:00,2026-08-05
UAB Propano ir butano dujų centras,"Cirkliškio k., Aukštaičių g. 2A, 18122",Švenčionių r. sav.,55.120058,26.13143,1.73,1.96,0.67,2026-08-05T08:50:06+03:00,2026-08-05
UAB Viada LT,"Kaltanėnai, Utenos g. 1, 18239",Švenčionių r. sav.,55.255178,25.990643,1.859,2.159,,2026-08-05T09:18:14+03:00,2026-08-05
UAB Viada LT,"Pabradė, Vilniaus g. 116B, 18177",Švenčionių r. sav.,54.975126,25.745001,1.859,2.159,0.829,2026-08-05T09:18:14+03:00,2026-08-05
UAB Viada LT,"Švenčionys, Vilniaus g. 50A, 18123",Švenčionių r. sav.,55.125425,26.145594,1.859,2.159,0.899,2026-08-05T09:18:14+03:00,2026-08-05
UAB Viada LT,"Švenčionėliai, Žemutinė g. 51A, 18212",Švenčionių r. sav.,55.16851,26.015011,1.859,2.159,0.899,2026-08-05T09:18:14+03:00,2026-08-05
